knowledge,issue_category,reference_url,knowledge_type
二つの節のうち後者が前者を説明・強調する場合、コロンまたはダッシュで区切ることができること,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
コロンはセミコロンよりも形式的で導入的な力が強いこと,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
ダッシュはセミコロンよりも強調的な区切りを示すこと,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
複雑で内部にコンマを含む列挙要素はセミコロンで区切ること,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
セミコロンはほぼ完全な区切りを示すため、列挙の意味を明確にするが文の流れを妨げる可能性があること,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
直接引用の導入にはコロンを使用すること、特に引用が長文の場合に適用,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
直接引用の導入には通常コンマを使用することが推奨される,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
間接引用の前にはコロンもコンマも使用しないこと,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
コロンは正式な書簡の挨拶文の後に使用すること,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
コロンは時刻の時間と分の間に使用すること（例：11:30 a.m.）,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
コロンは参考文献の引用において著者名とタイトルの間に使用すること,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
コロンは比率を表す際に使用すること（例：2:1混合物）,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
コロンは閉じ括弧や閉じ引用符の直後に置くこと,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
コンマは文の要素を区切るか囲むために使用し、その機能に応じて単独または対で用いること,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
コンマの使用は文の意味を変える可能性があるため、文脈を理解した上で適切に判断すること,['形式'],19900017394-ページ-60.pdf (Page 1),PDF文書
要約は200語以内に制限すること,['段落構成'],19900017394-ページ-46.pdf (Page 1),PDF文書
文章の冗長性を減らすために、従属節を句に変え、句を副詞や形容詞に縮約すること,['段落構成'],19900017394-ページ-46.pdf (Page 1),PDF文書
冗長で回りくどい表現を避けること,['段落構成'],19900017394-ページ-46.pdf (Page 1),PDF文書
受動態の使用を避け、能動態を優先すること,['文法'],19900017394-ページ-46.pdf (Page 1),PDF文書
状態を表す動詞（リンク動詞）やappear、seemなどの動詞よりも能動動詞を使用すること,"['文法', '単語']",19900017394-ページ-46.pdf (Page 1),PDF文書
複数の文の内容を一文にまとめることで文章を簡潔にすること。ただし、長くて分かりにくい文は避けること,['段落構成'],19900017394-ページ-46.pdf (Page 1),PDF文書
タイトルは短く簡潔にし、論文の主題を正確かつ完全に表現し、読者に理解されやすいものにすること,['段落構成'],19900017394-ページ-46.pdf (Page 1),PDF文書
タイトルから「An Investigation of」「An Analysis of」「Conference on」などの馴染みのある報告や情報収集に関するフレーズを削除して短縮すること,['段落構成'],19900017394-ページ-46.pdf (Page 1),PDF文書
三語以上のハイフン結合語では、最初の要素と主要語を大文字化すること,['形式'],19900017394-ページ-94.pdf (Page 1),PDF文書
通常小文字の短い語が大文字語と並ぶ場合は、その短い語も大文字化すること,['形式'],19900017394-ページ-94.pdf (Page 1),PDF文書
不定詞の to は大文字化すること（例外として一部の権威は小文字を推奨）,['形式'],19900017394-ページ-94.pdf (Page 1),PDF文書
通常小文字の略語は常に小文字のまま使用すること（特に単位の略語）,['形式'],19900017394-ページ-94.pdf (Page 1),PDF文書
固有名詞は見出しスタイルの大文字化ルールに従うこと,['形式'],19900017394-ページ-94.pdf (Page 1),PDF文書
見出しスタイルの大文字化は、表示形式の見出しおよび表のタイトルに適用すること,['形式'],19900017394-ページ-94.pdf (Page 1),PDF文書
略語は単語やフレーズの短縮形であり、通常はピリオドを伴うことが多いこと,['形式'],19900017394-ページ-94.pdf (Page 1),PDF文書
頭字語は用語の各部分の頭文字から形成され、ピリオドを含まず、定義が必要なことが多いこと,['形式'],19900017394-ページ-94.pdf (Page 1),PDF文書
番号付きリストの番号の後にピリオドを付けること,['形式'],19900017394-ページ-80.pdf (Page 1),PDF文書
括弧内の完全な文は大文字で始めず、ピリオドを付けないこと,['文法'],19900017394-ページ-80.pdf (Page 1),PDF文書
括弧内の句読点は括弧内に含め、文の句読点は括弧の外に置くこと,['文法'],19900017394-ページ-80.pdf (Page 1),PDF文書
括弧の前に続く語を限定する場合はコンマを置くこと,['文法'],19900017394-ページ-80.pdf (Page 1),PDF文書
完全な文の終わりにのみピリオドを使用すること,['文法'],19900017394-ページ-80.pdf (Page 1),PDF文書
別行の見出し、ランニングヘッド、表のタイトル、番号付きリストの項目にピリオドを付けないこと（ただし項目が完全な文の場合は例外）,['形式'],19900017394-ページ-80.pdf (Page 1),PDF文書
主語と動詞は文の最重要要素であることの強調,['文法'],19900017394-ページ-36.pdf (Page 1),PDF文書
主語と動詞の関係を明確にし、動詞をより力強くすることで文の質を向上させること,['文法'],19900017394-ページ-36.pdf (Page 1),PDF文書
主語は明確で具体的な語句で表現すること,['文法'],19900017394-ページ-36.pdf (Page 1),PDF文書
分詞句が修飾する名詞が明確でない場合はダングリング分詞とし、使用を避けること,['文法'],19900017394-ページ-35.pdf (Page 1),PDF文書
導入部の動名詞や不定詞句が明確に副詞的用法の場合は慣用的に許容されること,['文法'],19900017394-ページ-35.pdf (Page 1),PDF文書
分詞構文は文法的に正しくなくても誤解を招かない場合は許容されるが推奨されないこと,['文法'],19900017394-ページ-35.pdf (Page 1),PDF文書
分詞句は修飾する名詞と明確に対応させることが読みやすさ向上に重要であること,['文法'],19900017394-ページ-35.pdf (Page 1),PDF文書
文法と句読点のルールに従い、意味が明確な文章を作成すること,['文法'],19900017394-ページ-10.pdf (Page 1),PDF文書
文法ルールは変化し得るため、効果的な文章表現を優先すること,['文法'],19900017394-ページ-10.pdf (Page 1),PDF文書
文章の構成要素（句、節、文）の適切な配置（構文）を用いて意味の関係を明確に表現すること,['段落構成'],19900017394-ページ-10.pdf (Page 1),PDF文書
編集者は一貫性のある文法と句読点の適用を確認し、コピー編集を行うこと,['文法'],19900017394-ページ-10.pdf (Page 1),PDF文書
文法的に正しい文章でも、文章構造の改善によって効果的な表現に修正することが推奨されること,"['文法', '段落構成']",19900017394-ページ-10.pdf (Page 1),PDF文書
名詞は格（主格、目的格、所有格）と数（単数・複数）を適切に区別して使用すること,['文法'],19900017394-ページ-10.pdf (Page 1),PDF文書
英語の主格と目的格の名詞は同形であることを理解し、適切に使い分けること,['文法'],19900017394-ページ-10.pdf (Page 1),PDF文書
比較表現は明確かつ単純な構文で記述すること,['文法'],19900017394-ページ-48.pdf (Page 1),PDF文書
比較対象が曖昧にならないように明確に示すこと,['文法'],19900017394-ページ-48.pdf (Page 1),PDF文書
比較表現には適切な前置詞を用いること（例：Comparison of A with B）,['文法'],19900017394-ページ-48.pdf (Page 1),PDF文書
比較級は-erを付加するか、more/lessを修飾語の前に置くことで形成すること,['文法'],19900017394-ページ-48.pdf (Page 1),PDF文書
最上級は-estを付加するか、most/leastを修飾語の前に置くことで形成すること,['文法'],19900017394-ページ-48.pdf (Page 1),PDF文書
3音節以上の形容詞およびほとんどの副詞はmore/mostまたはless/leastで比較級・最上級を形成すること,['文法'],19900017394-ページ-48.pdf (Page 1),PDF文書
絶対分詞は先行詞を持たず、文中で独立して意味を成すこと,['文法'],19900017394-ページ-33.pdf (Page 1),PDF文書
絶対分詞は慣用的な表現であり、文中で先行詞が存在しないことを確認すること,['文法'],19900017394-ページ-33.pdf (Page 1),PDF文書
絶対分詞の誤用例として、先行詞が存在する場合は絶対分詞ではなく修飾語として扱うこと,['文法'],19900017394-ページ-33.pdf (Page 1),PDF文書
技術的文章において絶対分詞が慣用的でない場合は、副詞的表現に書き換えることを推奨,['文法'],19900017394-ページ-33.pdf (Page 1),PDF文書
文末の分詞が絶対分詞でない場合は、主語を非制限的に修飾する用法として扱うこと,['文法'],19900017394-ページ-33.pdf (Page 1),PDF文書
単語の分割は音節間でのみ許可,['段落構成'],19900017394-ページ-73.pdf (Page 1),PDF文書
行末の単語分割で1文字だけを残すことは禁止,['段落構成'],19900017394-ページ-73.pdf (Page 1),PDF文書
2文字の音節は行末に残してよいが、2文字の語尾を次行に送ることは禁止,['段落構成'],19900017394-ページ-73.pdf (Page 1),PDF文書
段落、ページ、参考文献、図表キャプションの最後の単語は分割禁止,['段落構成'],19900017394-ページ-73.pdf (Page 1),PDF文書
ハイフンでつながれた複合語はハイフン部分でのみ分割可能,['段落構成'],19900017394-ページ-73.pdf (Page 1),PDF文書
固有の複合語は自然な区切り（接頭辞後、接尾辞前、語幹の区切り）で分割推奨,['段落構成'],19900017394-ページ-73.pdf (Page 1),PDF文書
連続した行末ハイフンの多用は避けるべき,['段落構成'],19900017394-ページ-73.pdf (Page 1),PDF文書
接頭辞の後のハイフンは原則として省略傾向にある,['形式'],19900017394-ページ-73.pdf (Page 1),PDF文書
"以下の接頭辞には必ずハイフンを付けること：all-, quasi-, half-, self-, quarter-, ex-",['形式'],19900017394-ページ-73.pdf (Page 1),PDF文書
非制限的副詞節はカンマで囲むこと,['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
導入的副詞節は修飾する節からカンマで区切ること,['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
修飾する節の前に置かれる内部副詞節には、非制限的でない限りカンマを置かないこと,['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
"時間を表す副詞節（when, whenever, after, as soon as, just as, before, since, until, while）は主動詞を修飾する場合制限的とみなすこと",['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
"場所を表す副詞節（after, before, where, wherever）は通常制限的だが非制限的の場合もあること",['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
"方法を表す副詞節（how, just as, as, as if, as though）は通常制限的とみなすこと",['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
"比較や程度を表す副詞節（else, other, rather, as, than）は通常制限的とみなすこと",['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
"条件を表す副詞節（if, as though, except, provided, unless, whether）は通常制限的とみなすこと",['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
"譲歩を表す副詞節（although, even, while, whereas, though）は常に非制限的とみなすこと",['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
"原因や理由を表す副詞節はbecauseの場合制限的、since, as, inasmuch asの場合非制限的とみなすこと",['文法'],19900017394-ページ-66.pdf (Page 1),PDF文書
動詞の時制は文書内の視点に応じて一貫性を保つこと,['文法'],19900017394-ページ-17.pdf (Page 1),PDF文書
同じ視点を表す文は同じ時制で統一すること,['文法'],19900017394-ページ-17.pdf (Page 1),PDF文書
視点が変わる場合は時制もそれに応じて変えること,['文法'],19900017394-ページ-17.pdf (Page 1),PDF文書
要約は通常過去形で記述すること,['文法'],19900017394-ページ-17.pdf (Page 1),PDF文書
過去の研究は通常過去形で記述すること,['文法'],19900017394-ページ-17.pdf (Page 1),PDF文書
恒久的な施設や設備は現在形で記述すること,['文法'],19900017394-ページ-17.pdf (Page 1),PDF文書
実験手順や装置の説明は過去形で記述すること,['文法'],19900017394-ページ-17.pdf (Page 1),PDF文書
形容詞節を副詞句に変更する際は意味の変化に注意すること,['文法'],19900017394-ページ-42.pdf (Page 1),PDF文書
論文中の並列構造は同じ文法形式で表現し、文の読みやすさと強調を高めること,['文法'],19900017394-ページ-42.pdf (Page 1),PDF文書
論理的に等しい複数のアイデアは同じ文法構造で並列に記述すること,['文法'],19900017394-ページ-42.pdf (Page 1),PDF文書
単語は単語と、句は句と、従属節は従属節と、独立節は独立節と並列に記述すること,['文法'],19900017394-ページ-42.pdf (Page 1),PDF文書
論理的に等しくない節は並列ではなく従属構造で記述すること,['文法'],19900017394-ページ-42.pdf (Page 1),PDF文書
並列を要求する接続詞には等位接続詞、相関接続詞、接続副詞、独立節をつなぐセミコロンがあること,['文法'],19900017394-ページ-42.pdf (Page 1),PDF文書
3つ以上の要素の列挙にはカンマを必ず使用すること,['形式'],19900017394-ページ-62.pdf (Page 1),PDF文書
列挙の最後の要素の前の接続詞の前にカンマ（シリアルカンマ）を推奨し、誤読防止に役立てること,['形式'],19900017394-ページ-62.pdf (Page 1),PDF文書
導入句や導入節の後にはカンマを置くことが標準的な慣習であること,['形式'],19900017394-ページ-62.pdf (Page 1),PDF文書
導入節や導入句に動詞形を含む場合は必ずカンマを置くこと（例：従属節、分詞句、動名詞句、不定詞句）,['形式'],19900017394-ページ-62.pdf (Page 1),PDF文書
短い導入の副詞句の後のカンマは任意だが、明確さのために必要な場合は使用すること,['形式'],19900017394-ページ-62.pdf (Page 1),PDF文書
作品のタイトルは大文字で始めること,['形式'],19900017394-ページ-102.pdf (Page 1),PDF文書
歴史的文書のタイトルは大文字で表記すること,['形式'],19900017394-ページ-102.pdf (Page 1),PDF文書
文書、エッセイ、記事のタイトルは大文字で表記すること,['形式'],19900017394-ページ-102.pdf (Page 1),PDF文書
出版されたコンピュータプログラムの名称は大文字で表記すること,['形式'],19900017394-ページ-102.pdf (Page 1),PDF文書
コンピュータプログラムのモジュール名やアルゴリズム名は小文字で表記すること,['形式'],19900017394-ページ-102.pdf (Page 1),PDF文書
公法の名称は大文字で表記すること,['形式'],19900017394-ページ-102.pdf (Page 1),PDF文書
美術作品や音楽作品のタイトルは大文字で表記すること,['形式'],19900017394-ページ-102.pdf (Page 1),PDF文書
タイトルの大文字表記はアップスタイル（各主要単語の頭文字を大文字）を推奨すること,['形式'],19900017394-ページ-102.pdf (Page 1),PDF文書
条件を示す節には if を使用し、選択肢を示す節には whether を使用すること,['文法'],19900017394-ページ-30.pdf (Page 1),PDF文書
場所や位置を示す場合にのみ where を使用し、that や when の代わりに誤用しないこと,['文法'],19900017394-ページ-30.pdf (Page 1),PDF文書
although や whereas の意味で while を使用する場合は、同時性の意味を損なわない範囲で許容されること,['文法'],19900017394-ページ-30.pdf (Page 1),PDF文書
名詞節を導く that は省略可能な場合もあるが、省略は推奨されず明示的に記述することが望ましいこと,['文法'],19900017394-ページ-30.pdf (Page 1),PDF文書
括弧は非制限的または挿入的要素を囲むために使用すること,['形式'],19900017394-ページ-108.pdf (Page 1),PDF文書
省略記号は三つの等間隔のピリオド（...）で表記し、引用文の省略を示すこと,['形式'],19900017394-ページ-108.pdf (Page 1),PDF文書
ピリオドは宣言文や命令文の終わり、略語の表示に使用すること,['形式'],19900017394-ページ-108.pdf (Page 1),PDF文書
"パーソナル代名詞は一人称（I, we）、二人称（you）、三人称（he, she, they）を適切に使い分けること",['文法'],19900017394-ページ-108.pdf (Page 1),PDF文書
受動態は主語が動作を受ける動詞または文として用いること,['文法'],19900017394-ページ-108.pdf (Page 1),PDF文書
修飾語は他の語や語群の意味を変えるために用いること,['文法'],19900017394-ページ-108.pdf (Page 1),PDF文書
非制限的修飾語は基本文の意味を限定しない修飾語として用いること,['文法'],19900017394-ページ-108.pdf (Page 1),PDF文書
平行構造は論理的に等しい考えを同じ文法構造で書くこと,['文法'],19900017394-ページ-108.pdf (Page 1),PDF文書
動詞のムードは行為や存在の様態を示す形態として用いること（例：直説法、命令法、接続法）,['文法'],19900017394-ページ-108.pdf (Page 1),PDF文書
不定詞はtoに続く動詞で、副詞、形容詞、名詞として用いること,['文法'],19900017394-ページ-108.pdf (Page 1),PDF文書
疑問符は句点やコンマに優先して使用すること,['形式'],19900017394-ページ-84.pdf (Page 1),PDF文書
疑問符は引用符や括弧の直前に置くのは、疑問符が引用内または括弧内の一部である場合のみとすること,['形式'],19900017394-ページ-84.pdf (Page 1),PDF文書
疑問符で文が終わる場合、句点は省略すること,['形式'],19900017394-ページ-84.pdf (Page 1),PDF文書
疑問符の後にコンマを置かず、必要な場合はセミコロンを用いること,['形式'],19900017394-ページ-84.pdf (Page 1),PDF文書
引用符は他の文献からの引用、直接話法、または周囲の文章と区別する必要がある語句を囲むために使用し、必ず対で用いること,['形式'],19900017394-ページ-84.pdf (Page 1),PDF文書
"通常は二重引用符（"" ""）を使用し、二重引用符内でさらに引用がある場合は単一引用符（' '）を使用すること",['形式'],19900017394-ページ-84.pdf (Page 1),PDF文書
引用文は原文をそのまま引用符で囲むこと,['形式'],19900017394-ページ-84.pdf (Page 1),PDF文書
引用文の出典は文脈または参考文献の引用で明確に示すこと,['形式'],19900017394-ページ-84.pdf (Page 1),PDF文書
表の副題、ヘッドノート、ボックスヘッド、単語・フレーズ・文からなる表の項目は文頭式の大文字を使用,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
脚注（本文または表の脚注）は文頭式の大文字を使用,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
図のキャプションは文頭式の大文字を使用し、図の下に配置,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
図のラベルは頭文字のみ大文字（イニシャルキャップ）を推奨し、全大文字や大文字・小文字混在は避ける,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
記号式表現中の単語やフレーズは文頭式の大文字を使用,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
見出しの大文字化は見出し式を用い、主要な単語はすべて大文字化（Caps & lc）する,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
"見出し式の大文字化では冠詞（a, an, the）、前置詞（at, by, for, of, in, up, on, to）、接続詞（and, as, but, if, or, nor）は大文字化しない",['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
見出し式の大文字化では4文字以上の単語を主要語とみなし大文字化する,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
見出し式の大文字化では見出しの最初と最後の単語は必ず大文字化する,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
見出し式の大文字化では2語からなるハイフン結合語の両方の要素を大文字化するが、複合数詞の第2要素は大文字化しない,['形式'],19900017394-ページ-93.pdf (Page 1),PDF文書
制限用法の関係代名詞にはthatを使用することが推奨される,['文法'],19900017394-ページ-15.pdf (Page 1),PDF文書
前置詞の後にはwhichを使用すること,['文法'],19900017394-ページ-15.pdf (Page 1),PDF文書
指示詞thatの後にはwhichを使用すること,['文法'],19900017394-ページ-15.pdf (Page 1),PDF文書
関係代名詞と先行詞の間に句や節が入る場合はwhichを使用することが自然である,['文法'],19900017394-ページ-15.pdf (Page 1),PDF文書
制限用法の関係代名詞thatの省略は推奨されない,['文法'],19900017394-ページ-15.pdf (Page 1),PDF文書
関係代名詞whoは格変化を持ち、主格はwho、目的格はwhom、所有格はwhoseであること,['文法'],19900017394-ページ-15.pdf (Page 1),PDF文書
関係節が倒置されている場合、目的格の関係代名詞whomを使用すべきか判断が難しい場合は、関係節を独立節に書き換えて代名詞の格を確認すること,['文法'],19900017394-ページ-15.pdf (Page 1),PDF文書
主語は文中の主要な動作を行うか受ける語に設定すること,['文法'],19900017394-ページ-37.pdf (Page 1),PDF文書
受動態よりも能動態を用いて主語に近い動詞を配置し読みやすさを向上させること,['文法'],19900017394-ページ-37.pdf (Page 1),PDF文書
文の主語は前文の内容と関連付けて文間のつながりを良くすること,['段落構成'],19900017394-ページ-37.pdf (Page 1),PDF文書
間接構文（expletive thereやitを用いる構文）は冗長であるため可能な限り避けること,"['文法', '形式']",19900017394-ページ-37.pdf (Page 1),PDF文書
間接構文を直接的な主語と動詞の構文に書き換え、簡潔に表現すること,['文法'],19900017394-ページ-37.pdf (Page 1),PDF文書
比較文における指示対象の明確化のため、指示代名詞の先行詞が不明瞭な場合は文を言い換えるか比較対象を繰り返すこと,['文法'],19900017394-ページ-50.pdf (Page 1),PDF文書
比較文では、thanの後に比較対象を明確に示すことが必要であり、省略は避けること,['文法'],19900017394-ページ-50.pdf (Page 1),PDF文書
比較の基準が明確でない場合、比較文は意味をなさないため、基準を明示すること,['文法'],19900017394-ページ-50.pdf (Page 1),PDF文書
動詞compareは意味に応じてtoまたはwithを用いること。対象を並べて違い・類似点を検討する場合はwithを使用すること,['文法'],19900017394-ページ-50.pdf (Page 1),PDF文書
比較文でparticipial phraseのcompared withは誤用されやすいため、より適切な構文を用いることが望ましい,['文法'],19900017394-ページ-50.pdf (Page 1),PDF文書
修飾語が主語と動詞の間に多すぎると文の連続性が損なわれること,['文法'],19900017394-ページ-41.pdf (Page 1),PDF文書
副詞的修飾語は文中で移動可能であることが多いこと,['文法'],19900017394-ページ-41.pdf (Page 1),PDF文書
形容詞句や形容詞節は修飾する名詞の近くに置く必要があること,['文法'],19900017394-ページ-41.pdf (Page 1),PDF文書
長い形容詞句や形容詞節が主語と動詞の間に入る場合、修正方法として修飾語の短縮があること,['文法'],19900017394-ページ-41.pdf (Page 1),PDF文書
長い形容詞句や形容詞節が主語と動詞の間に入る場合、主語と動詞の倒置による修正が可能であること,['文法'],19900017394-ページ-41.pdf (Page 1),PDF文書
主語と動詞の倒置は文の強調を変え、しばしば不自然に聞こえることがあること,['文法'],19900017394-ページ-41.pdf (Page 1),PDF文書
動詞句が短く修飾が明確な場合、主語と形容詞の間に動詞を置く修正が許容されること,['文法'],19900017394-ページ-41.pdf (Page 1),PDF文書
関係節とその先行詞の間に動詞を置くことは文法的に誤りだが、修飾が明確なら許容される場合があること,['文法'],19900017394-ページ-41.pdf (Page 1),PDF文書
物理概念を表す数学記号および文字記号はイタリック体で表記すること,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
化学記号、コンピュータ記号、略語はイタリック体にしないこと,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
ベクトル、テンソル、行列を表す記号は太字ローマン体で表記可能であること,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
タイプライター体のテキストでは、イタリック体に通常なる記号の周囲にダブルスペースを入れて区別することを推奨する,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
書籍、報告書、編纂物、新聞、定期刊行物のタイトルおよび副題はイタリック体で表記すること,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
記事、会議資料、論文、編纂物中の論文、特許のタイトルはイタリック体にしないこと,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
読者に馴染みのない外国語はイタリック体で表記すること,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
外国の固有名詞、外国通貨、英語に取り入れられた外国語のフレーズはイタリック体にしないこと,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
生物学的な属名、種名、品種名はイタリック体で表記し、高次分類はイタリック体にしないこと,['形式'],19900017394-ページ-78.pdf (Page 1),PDF文書
要約は200語以内に制限,['段落構成'],19900017394-ページ-6.pdf (Page 1),PDF文書
図のキャプションは図の下に配置,"['段落構成', '形式']",19900017394-ページ-6.pdf (Page 1),PDF文書
引用は著者名と年を記載,['形式'],19900017394-ページ-6.pdf (Page 1),PDF文書
ページ番号は印刷しない,['形式'],19900017394-ページ-6.pdf (Page 1),PDF文書
図の環境でのセンタリング推奨,['形式'],19900017394-ページ-6.pdf (Page 1),PDF文書
フォントサイズは10ポイントに設定,['形式'],19900017394-ページ-6.pdf (Page 1),PDF文書
タイトルは米国の大文字ルールに従うこと,['形式'],19900017394-ページ-6.pdf (Page 1),PDF文書
タイプ3フォントの使用禁止,['形式'],19900017394-ページ-6.pdf (Page 1),PDF文書
前置詞のイディオムは文法規則ではなく慣用的用法に従うこと,['文法'],19900017394-ページ-27.pdf (Page 1),PDF文書
